,Temp (C),Temp (F),Dew Point (C),Dew Point (F),Humidity (%),Wind Speed (km/h),Wind Speed (mph),Wind Gust (km/h),Wind Gust (mph),Wind Dir (Degrees),Wind Dir (Compass),Visibility (km),Visibility (miles),Pressure (mb),Pressure (in),Wind Chill (C),Wind Chill (F),Heat Index (C),Heat Index (F),Precipitation (mm),Precipitation (in),Weather Condition,Weather Icon,Fog Present (1/0),Rain Present (1/0),Snow Present (1/0),Hail Present (1/0),Thunder Present (1/0),Tornado Present (1/0),Month,Hour,Minute,day
0,7.8,46.0,6.1,43.0,89.0,7.4,4.6,33.3,20.7,40,NE,4.0,2.5,1018.2,30.07,6.6,43.9,29.7,85.4,0.5,0.02,Light Rain,rain,0,1,0,0,0,0,12,0,15,31
1,7.8,46.0,6.1,43.0,89.0,7.4,4.6,33.3,20.7,0,Variable,6.4,4.0,1017.8,30.06,6.6,43.9,29.7,85.4,0.8,0.03,Overcast,cloudy,0,0,0,0,0,0,12,0,42,31
2,7.8,46.0,6.1,43.0,89.0,5.6,3.5,33.3,20.7,20,NNE,8.0,5.0,1017.0,30.04,7.1,44.8,29.7,85.4,0.8,0.03,Overcast,cloudy,0,0,0,0,0,0,12,0,51,31
3,7.2,45.0,5.6,42.1,90.0,7.4,4.6,33.3,20.7,0,Variable,12.9,8.0,1016.5,30.02,5.9,42.6,29.7,85.4,0.3,0.01,Overcast,cloudy,0,0,0,0,0,0,12,1,51,31
4,7.2,45.0,5.6,42.1,90.0,0.0,0.0,33.3,20.7,0,North,12.9,8.0,1016.7,30.03,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,2,51,31
5,6.7,44.1,5.0,41.0,89.0,7.4,4.6,33.3,20.7,300,WNW,12.9,8.0,1017.2,30.04,5.3,41.5,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,3,28,31
6,7.2,45.0,5.0,41.0,86.0,0.0,0.0,33.3,20.7,0,North,12.9,8.0,1016.8,30.03,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,3,40,31
7,7.2,45.0,5.0,41.0,86.0,7.4,4.6,33.3,20.7,310,NW,14.5,9.0,1015.9,30.0,5.9,42.6,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,3,51,31
8,7.2,45.0,5.0,41.0,86.0,5.6,3.5,33.3,20.7,280,West,14.5,9.0,1016.8,30.03,6.4,43.5,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,4,22,31
9,7.2,45.0,5.6,42.1,90.0,5.6,3.5,33.3,20.7,270,West,11.3,7.0,1016.2,30.01,6.4,43.5,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,4,51,31
10,7.2,45.0,5.0,41.0,86.0,0.0,0.0,33.3,20.7,0,North,12.9,8.0,1017.2,30.04,0.2,32.3,29.7,85.4,0.5,0.02,Scattered Clouds,partlycloudy,0,0,0,0,0,0,12,5,14,31
11,7.8,46.0,5.6,42.1,86.0,5.6,3.5,33.3,20.7,0,Variable,16.1,10.0,1016.6,30.02,7.1,44.8,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,12,5,51,31
12,7.8,46.0,5.6,42.1,86.0,7.4,4.6,33.3,20.7,0,Variable,16.1,10.0,1016.9,30.03,6.6,43.9,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,12,6,51,31
13,7.8,46.0,5.6,42.1,86.0,7.4,4.6,33.3,20.7,270,West,14.5,9.0,1018.2,30.07,6.6,43.9,29.7,85.4,0.5,0.02,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0,12,7,14,31
14,8.3,46.9,5.6,42.1,83.0,7.4,4.6,33.3,20.7,290,WNW,16.1,10.0,1018.2,30.07,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,7,28,31
15,8.3,46.9,5.6,42.1,83.0,5.6,3.5,33.3,20.7,290,WNW,14.5,9.0,1017.7,30.06,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,7,51,31
16,8.3,46.9,5.0,41.0,80.0,7.4,4.6,33.3,20.7,0,Variable,16.1,10.0,1018.5,30.08,0.2,32.3,29.7,85.4,0.5,0.02,Clear,clear,0,0,0,0,0,0,12,8,51,31
17,8.3,46.9,2.8,37.0,68.0,9.3,5.8,33.3,20.7,300,WNW,16.1,10.0,1019.0,30.09,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,9,51,31
18,8.3,46.9,2.2,36.0,66.0,16.7,10.4,33.3,20.7,310,NW,16.1,10.0,1018.9,30.09,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,10,51,31
19,8.3,46.9,1.1,34.0,61.0,14.8,9.2,29.6,18.4,310,NW,16.1,10.0,1017.7,30.06,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,11,51,31
20,8.3,46.9,1.1,34.0,61.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1017.2,30.04,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,12,51,31
21,8.3,46.9,0.6,33.1,59.0,9.3,5.8,33.3,20.7,300,WNW,16.1,10.0,1016.9,30.03,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,13,51,31
22,8.9,48.0,0.6,33.1,56.0,7.4,4.6,33.3,20.7,0,North,16.1,10.0,1016.7,30.03,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,14,51,31
23,8.3,46.9,0.6,33.1,59.0,9.3,5.8,33.3,20.7,0,Variable,16.1,10.0,1017.9,30.06,0.2,32.3,29.7,85.4,0.5,0.02,Overcast,cloudy,0,0,0,0,0,0,12,15,51,31
